,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
1,LSTM,200 layers,0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
2,LSTM,100 layers,0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
3,LSTM,50 layers,0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8727272727272727,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.8181818181818182,0.9183673469387755,0.8823529411764706,0.9,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8545454545454545,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.8727272727272727,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9090909090909091,0.9259259259259259,0.9803921568627451,0.9523809523809523,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
16,RNN,200 units,0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
17,RNN,150 units,0.8727272727272727,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.0,0.0,0.0
18,RNN,100 units,0.7818181818181819,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.0,0.0,0.0
19,RNN,50 units,0.9272727272727272,0.9272727272727272,1.0,0.9622641509433962,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.7454545454545455,0.9111111111111111,0.803921568627451,0.8541666666666666,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.8727272727272727,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.8181818181818182,0.9183673469387755,0.8823529411764706,0.9,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.8,0.9166666666666666,0.8627450980392157,0.888888888888889,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.8,0.9166666666666666,0.8627450980392157,0.888888888888889,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.8727272727272727,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.8,0.9166666666666666,0.8627450980392157,0.888888888888889,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.8363636363636363,0.92,0.9019607843137255,0.9108910891089109,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8,0.9166666666666666,0.8627450980392157,0.888888888888889,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.8909090909090909,0.9245283018867925,0.9607843137254902,0.9423076923076923,0.0,0.0,0.0
