0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
1,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.007,TON,-,77.53,Italy,Lithuania,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Lithuania T1  Import
2,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.021,TON,-,2751.69,Bulgaria,Portugal,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Portugal T1  Import
3,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,20.22,Belgium,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
4,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.014,TON,-,448.31,Slovakia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
5,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,21.809,TON,-,15080.9,France,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
6,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,325.41,TON,-,2715043.18,Finland,Sweden,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Sweden T1  Import
7,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,20.798,TON,-,632018.18,Germany,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
8,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,4.55,Croatia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
9,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,4028.241,TON,-,24796081.82,Zambia,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
10,2019-05-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.012,TON,-,387.64,Ireland,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
11,2019-05-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,29.21,Estonia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
12,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.002,TON,-,323.33,Sweden,Singapore,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Sweden T1  Export
13,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.09,TON,-,2831.11,Germany,Singapore,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Export
14,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.415,TON,-,5807.69,United Kingdom,Iceland,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,United Kingdom T1  Export
15,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.068,TON,-,598.9,Germany,Taiwan,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Export
16,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.18,TON,-,2626.37,Greece,Marshall Islands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Greece T1  Export
17,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,3.621,TON,-,66370,United Kingdom,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,United Kingdom T1  Export
18,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.106,TON,-,8851.11,Italy,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Export
19,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.08,TON,-,2570,Greece,Portugal,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Greece T1  Export
20,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,200.62,TON,-,1512410,Finland,Sweden,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Finland T1  Export
21,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.009,TON,-,157.78,Italy,Sweden,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Export
22,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,6.082,TON,-,40978.89,Spain,Portugal,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Portugal T1  Import
23,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,201.69,TON,-,1978816.48,Pakistan,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
24,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.004,TON,-,101.11,United Kingdom,Denmark,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Denmark T1  Import
25,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.024,TON,-,753.33,Ireland,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
26,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,20.664,TON,-,639417.78,Germany,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
27,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,1918.263,TON,-,17412994.44,Germany,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
28,2019-05-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,3.08,TON,-,20968.54,France,Romania,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Romania T1  Import
29,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.005,TON,-,159.09,Estonia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
30,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,21.03,TON,-,671401.14,Germany,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
31,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.006,TON,-,47.73,Italy,United Kingdom,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,United Kingdom T1  Import
32,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.016,TON,-,101.14,Italy,Portugal,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Portugal T1  Import
33,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.027,TON,-,861.36,Croatia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
34,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,180,TON,-,1387212.5,Finland,Sweden,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Sweden T1  Import
35,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.019,TON,-,173.86,Italy,Lithuania,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Lithuania T1  Import
36,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,92.235,TON,-,611631.82,Spain,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
37,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,4.117,TON,-,61026.14,China,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
38,2019-07-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,12260.526,TON,-,96641080.68,Bulgaria,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
39,2019-06-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,6.74,Germany,Slovenia,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Slovenia T1  Import
40,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.021,TON,-,663.33,Greece,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
41,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.095,TON,-,2738.89,United Kingdom,Ireland,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Ireland T1  Import
42,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.002,TON,-,58.89,Portugal,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
43,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,1.25,TON,-,4375.82,Bulgaria,Italy,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Import
44,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.204,TON,-,1536.26,Italy,Bulgaria,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Bulgaria T1  Import
45,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.19,TON,-,5950,Turkey,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
46,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,5041.758,TON,-,37170434.07,Belgium,Germany,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Import
47,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,70.33,France,Italy,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Import
48,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.516,TON,-,3504.44,Italy,Croatia,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Croatia T1  Import
49,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.014,TON,-,423.08,Greece,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
50,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,1421.051,TON,-,9422819.78,Zambia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
51,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,302.2,Germany,Spain,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Spain T1  Import
52,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.334,TON,-,9891.21,United Kingdom,Spain,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Spain T1  Import
53,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,41.76,Norway,Finland,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Finland T1  Import
54,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,12.523,TON,-,82159.34,Germany,Austria,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Austria T1  Import
55,2019-08-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.015,TON,-,456.67,Slovenia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
56,2019-08-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,98.608,TON,-,713840,Germany,Hungary,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Hungary T1  Import
57,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.088,TON,-,2840.91,Italy,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
58,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.008,TON,-,245.05,Croatia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
59,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,48.35,France,Italy,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Import
60,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.013,TON,-,397.8,Slovenia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
61,2019-09-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.005,TON,-,202.2,France,Spain,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Spain T1  Import
62,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.296,TON,-,14871.43,United Kingdom,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
63,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.002,TON,-,62.64,Belgium,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
64,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.812,TON,-,16553.85,United Kingdom,Germany,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Import
65,2019-10-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.017,TON,-,515.38,United Kingdom,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
66,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.003,TON,-,139.56,Poland,Czech Republic,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Czech Republic T1  Import
67,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,6.59,Germany,Slovenia,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Slovenia T1  Import
68,2019-12-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,205.823,TON,-,1406662.64,Germany,Hungary,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Hungary T1  Import
69,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,42.22,France,Spain,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Spain T1  Import
70,2019-11-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,23.249,TON,-,343581.11,Mexico,Germany,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Import
71,2019-09-04 00:00:00,7402003000,"DO: 11BAQBQ0819056, STATEMENT: 1/2; NEW GOODS // NO IMPORT REGISTRATION REQUIRED",COLTUGS SAS,,LUDO INGENIERIA DE ING MOENS PABLO ENRIQUE,32,KGS,-,2350.34,Argentina,Colombia,Not Available,32,KGS,-,-,Not Available,-,-,-,-,-,-,-,COPPER ANODES FOR ELECTROLYTIC REFINING,38,CL 81     11   55  TO NORTE OF 401,"BELTRAMI 620- MAR DE PLATA SUR, BUE",,Columbia T3+  Import
72,2019-09-25 00:00:00,7402003000,"DO: 13GCOCT0919136, ORDER NUMBER / PURCHASE ORDER: 4600018424, 4600018711, 4300015455 AMPERE I",COMPA IA COLOMBIANA DE CERAMICA SA COLCERAMICA SA,,AMPERE INDUSTRIE SAS,2535,KGS,-,20530.44,France,Colombia,Not Available,2535,KGS,-,-,Not Available,-,-,-,-,-,-,-,COPPER ANODES FOR ELECTROLYTIC REFINING,2645,CL 113   7   80 P 3 TO AR,95075 CERGY PONTOISE CEDEX FRANCE,,Columbia T3+  Import
73,2019-03-23 00:00:00,74020000,UNREFINED COPPER,HUBEI DAGAN IMPORT EXPORT TRADING CO LTD,,METALINDO MAKMUR MANDIRI,23,TNE,-,69000,Indonesia,China,Shanghai,23,TNE,3000,-,Tanjung Priok,-,-,-,-,-,-,-,,0,"NO.15,21ST FLOOR,BLOCK A-B CHAMBER OF COMMERCE BUILDING, DONGFENG ROAD","PORIS INDAH BLOK D 457 RT.008 RW.007, CIPONDOH INDAH, CIPONDOH INDAH, CIPONDOH, KOTA TANGERANG, BANT",,Indonesia T3  Export
74,2019-11-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,497294,KGS,-,2604776,Congo,Brazil,Not Available,497294,KGS,-,-,Not Available,-,-,-,-,-,-,-,,497294,,,,Brazil T1  Import
75,2019-02-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,506516,KGS,-,2810759,Congo,Brazil,Not Available,506516,KGS,-,-,Not Available,-,-,-,-,-,-,-,,506516,,,,Brazil T1  Import
76,2019-04-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,5003,KGS,-,38462,United States,Brazil,Not Available,5003,KGS,-,-,Not Available,-,-,-,-,-,-,-,,5003,,,,Brazil T1  Import
77,2019-04-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,2673127,KGS,-,15793100,Congo,Brazil,Not Available,2673127,KGS,-,-,Not Available,-,-,-,-,-,-,-,,2673127,,,,Brazil T1  Import
78,2019-06-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,120,KGS,-,4050,United States,Brazil,Not Available,120,KGS,-,-,Not Available,-,-,-,-,-,-,-,,120,,,,Brazil T1  Import
79,2019-05-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,712310,KGS,-,4212943,Congo,Brazil,Not Available,712310,KGS,-,-,Not Available,-,-,-,-,-,-,-,,712310,,,,Brazil T1  Import
80,2019-02-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,980902,KGS,-,5765722,Chile,Brazil,Not Available,980902,KGS,-,-,Not Available,-,-,-,-,-,-,-,,980902,,,,Brazil T1  Import
81,2019-07-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,222,KGS,-,8100,United States,Brazil,Not Available,222,KGS,-,-,Not Available,-,-,-,-,-,-,-,,222,,,,Brazil T1  Import
82,2019-09-01 00:00:00,74020000,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,,,,25,KGS,-,635,South Korea,Brazil,Not Available,25,KGS,-,-,Not Available,-,-,-,-,-,-,-,,25,,,,Brazil T1  Import
83,2019-03-08 00:00:00,74020000000,COPPER,ELECTRICAL EXCELLENCE LIMITED KAMPALA KAMPALA CENTRAL DIVI KAMPALA CENTRAL DIVISION NAKASERO DUSTER STREET TEDDY S SHOPS APARTMENT GROUND LEVEL SHOP K86 4 1 KAMPALA,,ZHEJIANG CHINT ELECTRICS CO LTD,2279,KGS,-,990,China,Uganda,Not Available,2279,KGS,-,-,Not Available,-,-,-,-,-,-,-,,2279,,"3857 SIXIAN ROAD,",,Uganda T3  Import
84,2019-01-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.031,TON,-,1027.59,Netherlands,Croatia,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
85,2019-01-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.05,TON,-,1914.94,United Kingdom,India,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,United Kingdom T1  Export
86,2019-02-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,7.342,TON,-,43793.1,Italy,Slovenia,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Export
87,2019-02-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.022,TON,-,1703.45,Netherlands,Turkey,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
88,2019-02-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,1.901,TON,-,63670.11,Netherlands,Italy,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
89,2019-01-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.014,TON,-,167.82,France,Spain,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Export
90,2019-02-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,103.45,Italy,Czech Republic,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Italy T1  Export
91,2019-02-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.003,TON,-,128.74,Germany,United Arab Emirates,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Germany T1  Export
92,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.123,TON,-,3954.55,Netherlands,Luxembourg,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
93,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.002,TON,-,1140.91,Hungary,United States,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Hungary T1  Export
94,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.24,TON,-,9770.45,Spain,,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Spain T1  Export
95,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,6.203,TON,-,176285.23,Netherlands,Norway,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
96,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.072,TON,-,2264.77,Netherlands,Singapore,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
97,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.232,TON,-,7812.5,United Kingdom,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,United Kingdom T1  Export
98,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.08,TON,-,3055.68,Netherlands,Canada,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Export
